SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
158958. $OBJEKT             00000274d_klasse_zeugnis_nok_ds                 
158959. $OBJEKT             00000275d_treeview_kurs_zuordnung_belegte_kurse          
158960. $OBJEKT             00000276d_treeview_kurs_zuordnung_schueler          
158961. $OBJEKT             00000277d_treeview_kurs_zuordnung_vorhande_kurse          
158962. $OBJEKT             00000278d_treeview_kurs_zuordnung_belegte_ku_old          
158963. $OBJEKT             00000279d_treeview_kurs_zuordnung_vorhande_k_old          
158964. $OBJEKT             00000280d_treeview_avs_faecher                  
158965. $OBJEKT             00000281d_treeview_avs_faecher_eines_schuelers          
158967. $OBJEKT             00000283d_treeview_avs_schueler_ohne_wahl          
158966. $OBJEKT             00000282d_treeview_avs_schueler_mit_wahl          
158968. $OBJEKT             00000284d_treeview_facharbeit                   
158969. $OBJEKT             00000285d_treeview_kurs_zuordnung_kurse_zu_fach          
158970. $OBJEKT             00000286d_treeview_tutor_lehrer                 
158971. $OBJEKT             00000287d_treeview_tutor_schueler_mit_wahl          
158972. $OBJEKT             00000288d_treeview_tutor_schueler_ohne_wahl          
158973. $OBJEKT             00000289d_treeview_betfach_schueler_mit_wahl          
158974. $OBJEKT             00000290d_treeview_betfach_schueler_ohne_wahl          
158975. $OBJEKT             00000291d_treeview_betreuer_schueler_mit_wahl          
158976. $OBJEKT             00000292d_treeview_betreuer_schueler_ohne_wahl          
158977. $OBJEKT             00000293d_treeview_avs_optionen                 
158978. $OBJEKT             00000294d_kurs_teilnehmer_free                  
158979. $OBJEKT             00000295d_kurs_teilnehmer_free_kurz             
158980. $OBJEKT             00000296d_kurs_teilnehmer_free_samm             
158981. $OBJEKT             00000297d_kurs_suche_grid                       
158982. $OBJEKT             00000298d_kurs_suche_titel_grid                 
158983. $OBJEKT             00000299d_kurs_std_stdpln_anwesend              
158984. $OBJEKT             00000300d_kurs_std_stdpln_grid                  
158985. $OBJEKT             00000301d_kurs_std_suche_grid                   
158986. $OBJEKT             00000302d_kurs_stdpln_grid                      
158987. $OBJEKT             00000303d_kurs_std_grid_gruppe                  
158988. $OBJEKT             00000304d_kurs_std_lehrer_free                  
158989. $OBJEKT             00000305d_kurs_std_lehrer_free_kurz             
158990. $OBJEKT             00000306d_kurs_std_schueler_free                
158991. $OBJEKT             00000307d_kurs_std_schueler_free_kurz           
158992. $OBJEKT             00000308d_kurs_std_schueler_grid                
158993. $OBJEKT             00000309d_kurs_std_grid                         
158994. $OBJEKT             00000310d_kurs_std_free_2                       
158995. $OBJEKT             00000311d_kurs_std_free_3                       
158996. $OBJEKT             00000312d_kurs_std_betrieb_free_kurz            
158998. $OBJEKT             00000314d_kurs_std_aao_grid_ro                  
158999. $OBJEKT             00000315d_kurs_std_betrieb_free                 
159000. $OBJEKT             00000316d_kurs_schueler_zuordnung_anwahl          
159001. $OBJEKT             00000317d_kurs_schueler_zuordnung_da            
159002. $OBJEKT             00000318d_kurs_schueler_zuordnung_fehlt          
159003. $OBJEKT             00000319d_kurs_schueler_zuordnung_kurse          
159004. $OBJEKT             00000320d_kurs_noten_kurse                      
159005. $OBJEKT             00000321d_kurs_noten_punkte                     
159006. $OBJEKT             00000322d_kurs_lehrer_zuordnen                  
159007. $OBJEKT             00000323d_kurs_noten_punkte_hz_jz               
159008. $OBJEKT             00000324d_fkt_kurs_versetzen                    
159009. $OBJEKT             00000325d_fkt_kurs_sammel_aend                  
159010. $OBJEKT             00000326d_kurs_info_arbm_grid                   
159011. $OBJEKT             00000327d_kurs_info_raum_grid                   
159012. $OBJEKT             00000328d_fkt_kursstamm_versetzen               
159013. $OBJEKT             00000329d_fkt_kurs_versetzen_kurse              
159014. $OBJEKT             00000330d_fkt_kurs_versetzen_kurse_anwahl          
159015. $OBJEKT             00000331d_fkt_kurs_versetzen_kurse_anwahl_neue          
159016. $OBJEKT             00000332d_lehrer_referent_free                  
159017. $OBJEKT             00000333d_lehrer_referent_free_kurz             
159018. $OBJEKT             00000334d_lehrer_schule_free                    
159019. $OBJEKT             00000335d_lehrer_schule_free_kurz               
159020. $OBJEKT             00000336d_lehrer_statistik_besch_art            
159021. $OBJEKT             00000337d_lehrer_statistik_besch_verhaeltnis          
159022. $OBJEKT             00000338d_lehrer_statistik_besoldungsgruppe          
159023. $OBJEKT             00000339d_lehrer_statistik_comp_ro              
159024. $OBJEKT             00000340d_lehrer_statistik_kopf                 
159025. $OBJEKT             00000341d_lehrer_statistik_lehramt              
159026. $OBJEKT             00000342d_lehrer_statistik_staat                
159027. $OBJEKT             00000343d_lehrer_std_referent_free              
159028. $OBJEKT             00000344d_lehrer_std_referent_free_kurz          
159029. $OBJEKT             00000345d_lehrer_schule_free_rlp_kurz           
159030. $OBJEKT             00000346d_lehrer_schule_free_rlp                
159031. $OBJEKT             00000347d_lehrer_schule_free_bra                
159032. $OBJEKT             00000348d_lehrer_schule_free_bra_kurz           
159033. $OBJEKT             00000349d_lehrer_schule_free_bw                 
159034. $OBJEKT             00000350d_lehrer_schule_free_bw_kurz            
159035. $OBJEKT             00000351d_lehrer_schule_free_nrw                
159036. $OBJEKT             00000352d_lehrer_schule_free_nrw_kurz           
159037. $OBJEKT             00000353d_lehrer_schule_rechte_grid             
159038. $OBJEKT             00000354d_lehrer_schule_free_ausl               
159039. $OBJEKT             00000355d_lehrer_schule_free_aust               
159040. $OBJEKT             00000356d_lehrer_schule_free_aust_kurz          
159041. $OBJEKT             00000357d_lehrer_schule_free_ausl_kurz          
159042. $OBJEKT             00000358d_lehrer_schule_gehalt_ro               
159043. $OBJEKT             00000359d_lehrer_lefa_zaehler_1                 
159044. $OBJEKT             00000360d_lehrer_lefa_zaehler_2                 
159045. $OBJEKT             00000361d_lehrer_lefa_zaehler_3                 
159046. $OBJEKT             00000362d_lehrer_pi_info_fach_grid              
159047. $OBJEKT             00000363d_lehrer_noten_punkte_hz_jz             
159048. $OBJEKT             00000364d_lehrer_noten_vorlauf                  
159049. $OBJEKT             00000365d_lehrer_joker                          
159050. $OBJEKT             00000366d_lehrer_klassenleiter                  
159051. $OBJEKT             00000367d_lehrer_laufbahn_ro                    
159052. $OBJEKT             00000368d_lehrer_lefa_befgen_free               
159053. $OBJEKT             00000369d_lehrer_lefa_lehrb_free                
159054. $OBJEKT             00000370d_lehrer_lefa_lehre_free                
159056. $OBJEKT             00000372d_lehrer_grid_gruppe                    
159057. $OBJEKT             00000373d_lehrer_info_bem_grid                  
159058. $OBJEKT             00000374d_lehrer_info_lehramt_grid              
159059. $OBJEKT             00000375d_lehrer_info_teilzeit_beurlaub_grid          
159060. $OBJEKT             00000376d_lehrer_info_bildungsgang_grid          
159061. $OBJEKT             00000377d_lehrer_info_weitere_schulen_grid          
159062. $OBJEKT             00000378d_lehrer_info_merker_grid               
159063. $OBJEKT             00000379d_lehrer_info_staat                     
159064. $OBJEKT             00000380d_lehrer_einsatzplan_grid               
159065. $OBJEKT             00000381d_lehrer_einsatzplan_free_kurz          
159066. $OBJEKT             00000382d_lehrer_einsatzplan_free               
159067. $OBJEKT             00000383d_lehrer_betrieb_free_kurz              
159068. $OBJEKT             00000384d_lehrer_betrieb_free                   
159069. $OBJEKT             00000385d_lehrer_aao_free_std_kurz              
159070. $OBJEKT             00000386d_lehrer_aao_free_std                   
159071. $OBJEKT             00000387d_lehr_sc_info_telekomm_grid            
159072. $OBJEKT             00000388d_lehr_sc_info_sprech_grid              
159073. $OBJEKT             00000389d_lehrer_free                           
159074. $OBJEKT             00000390d_lehr_sc_unterricht_grid               
159075. $OBJEKT             00000391d_lehrer_arei_grid                      
159076. $OBJEKT             00000392d_lehrer_arbu_grid                      
159077. $OBJEKT             00000393d_lehrer_cross_unterricht               
159078. $OBJEKT             00000394d_lehrer_abgleich_untis_free            
159079. $OBJEKT             00000395d_lehr_sc_info_pool_grid                
159080. $OBJEKT             00000396d_lehrer_abwesenheit                    
159081. $OBJEKT             00000397d_lehrer_deputat_ds                     
159082. $OBJEKT             00000398d_lehr_sc_info_schulleitung_grid          
159083. $OBJEKT             00000399d_lehr_sc_info_sount_grid               
159084. $OBJEKT             00000400d_lehr_sc_info_upz_grid                 
159085. $OBJEKT             00000401d_lehr_sc_info_weitsc_grid              
159086. $OBJEKT             00000402d_lehr_sc_info_weitsc_grid_rlp          
159087. $OBJEKT             00000403d_lehr_sc_info_zenfa_grid               
159088. $OBJEKT             00000404d_le_bt_info_grid                       
159089. $OBJEKT             00000405d_fkt_lehrer_versetzen                  
159090. $OBJEKT             00000406d_fkt_lehrer_ohne_sj_loeschen           
159091. $OBJEKT             00000407d_epkl_klasse_suche_grid                
159092. $OBJEKT             00000408d_epkl_fach_suche_grid                  
159093. $OBJEKT             00000409d_lehr_sc_info_beschverh_grid           
159094. $OBJEKT             00000410d_lehr_sc_info_gehalt                   
159095. $OBJEKT             00000411d_lehr_sc_info_gehalt_definition          
159096. $OBJEKT             00000412d_lehr_sc_info_abord_grid               
159097. $OBJEKT             00000413d_lehr_sc_info_abteilung_grid           
159098. $OBJEKT             00000414d_lehr_sc_info_ankol_grid               
159099. $OBJEKT             00000415d_lehr_sc_info_anstd_grid               
159100. $OBJEKT             00000416d_lehr_sc_info_arbkonto_grid            
159101. $OBJEKT             00000417d_lehr_sc_info_ermal_grid               
159102. $OBJEKT             00000418d_lehr_sc_info_ermbe_grid               
159103. $OBJEKT             00000419d_lehr_sc_info_ermmue_grid              
159104. $OBJEKT             00000420d_lehr_sc_info_ermmutter_grid           
159105. $OBJEKT             00000421d_lehr_sc_info_mehr_grid                
159106. $OBJEKT             00000422d_lehr_sc_info_mehrarbeit_grid          
159107. $OBJEKT             00000423d_lehr_sc_info_mind_grid                
159108. $OBJEKT             00000424d_lehr_sc_info_nebentaet_grid           
159109. $OBJEKT             00000425d_lehrer_free_rlp                       
159110. $OBJEKT             00000426d_lehrer_free_bra                       
159111. $OBJEKT             00000427d_lehrer_free_bw                        
159112. $OBJEKT             00000428d_lehrer_free_nrw                       
159113. $OBJEKT             00000429d_lehrer_free_aust                      
159114. $OBJEKT             00000430d_lehrer_geburtstag_grid                
159115. $OBJEKT             00000431d_lehrer_std_teilnahme_grid             
159116. $OBJEKT             00000432d_lehrer_std_teilnehmer_free            
159117. $OBJEKT             00000433d_lehrer_std_teilnehmer_free_kurz          
159118. $OBJEKT             00000434d_lehrer_stdpln_alle                    
159119. $OBJEKT             00000435d_lehrer_stdpln_grid                    
159121. $OBJEKT             00000437d_lehrer_stdpln_ref                     
159122. $OBJEKT             00000438d_lehrer_stdpln_sachb                   
159123. $OBJEKT             00000439d_lehrer_stdpln_tn                      
159124. $OBJEKT             00000440d_lehrer_suche_grid                     
159125. $OBJEKT             00000441d_lehrer_suche_mit_sjahr_grid           
159126. $OBJEKT             00000442d_lehrer_suche_mit_sjahr_scid_grid          
159127. $OBJEKT             00000443d_lehrer_suche_ref_grid                 
159128. $OBJEKT             00000444d_lehrer_suche_ref_leit_grid            
159129. $OBJEKT             00000445d_lehrer_suche_suchbegr_grid            
159130. $OBJEKT             00000446d_lehrer_suche_typ_grid                 
159131. $OBJEKT             00000447d_lehrer_suche_typ_pa_grid              
159132. $OBJEKT             00000448d_lehrer_suche_typ_sb_grid              
159133. $OBJEKT             00000449d_lehrer_vertrag_free                   
159134. $OBJEKT             00000450d_lehrer_vertrag_free_kurz              
159135. $OBJEKT             00000451d_namen_lehrer_select                   
159136. $OBJEKT             00000452d_lehrer_unterricht_bay_grid            
159137. $OBJEKT             00000453d_lehrer_unterricht_grid_ro             
159138. $OBJEKT             00000454d_lehrer_std_stdpln_grid                
159139. $OBJEKT             00000455d_lehrer_std_stdpln_anwesend            
159140. $OBJEKT             00000456d_betrieb_suche_suchbegr_grid           
159141. $OBJEKT             00000457d_betrieb_statistik_schuljahre          
159142. $OBJEKT             00000458d_betrieb_vo_suche_grid                 
159143. $OBJEKT             00000459d_betrieb_statistik_ort                 
159144. $OBJEKT             00000460d_betrieb_statistik_kopf                
159145. $OBJEKT             00000461d_betrieb_statistik_gemeinde            
159146. $OBJEKT             00000462d_fkt_schueler_betrieb_versetzen          
159147. $OBJEKT             00000463d_betrieb_statistik_comp_ro             
159148. $OBJEKT             00000464d_lieferant_artikel_free                
159149. $OBJEKT             00000465d_betrieb_statistik_berufs_nr           
159150. $OBJEKT             00000466d_lieferant_artikel_free_kurz           
159151. $OBJEKT             00000467d_lieferant_artikel_grid                
159152. $OBJEKT             00000468d_lieferanten_artikel_suche_grid          
159153. $OBJEKT             00000469d_lieferanten_free                      
159154. $OBJEKT             00000470d_lieferanten_grid                      
159155. $OBJEKT             00000471d_lieferanten_suche_grid                
159156. $OBJEKT             00000472d_betrieb_struktur_grid_ro              
159157. $OBJEKT             00000473d_betrieb_statistik_schuljahre_einzel          
159158. $OBJEKT             00000474d_betrieb_statistik_berufs_nr_einzel          
159159. $OBJEKT             00000475d_betrieb_statistik_gemeinde_einzel          
159160. $OBJEKT             00000476d_betrieb_statistik_ort_einzel          
159161. $OBJEKT             00000477d_betrieb_vertrag_free                  
159162. $OBJEKT             00000478d_betrieb_vertrag_free_kurz             
159163. $OBJEKT             00000479d_betrieb_praktikum_free                
159169. $OBJEKT             00000485d_betrieb_joker                         
159164. $OBJEKT             00000480d_betrieb_praktikum_lookup              
159165. $OBJEKT             00000481d_betrieb_prov_vereinbarung             
159166. $OBJEKT             00000482d_betrieb_prov_vereinbarung_kurz          
159167. $OBJEKT             00000483d_betrieb_praktikum_block               
159168. $OBJEKT             00000484d_betrieb_pjbt_schueler_grid_ausl          
159170. $OBJEKT             00000486d_betrieb_pjbt_schueler_grid            
159171. $OBJEKT             00000487d_betrieb_info_kunden_nr                
159172. $OBJEKT             00000488d_betrieb_info_branche_grid             
159173. $OBJEKT             00000489d_betrieb_info_berufe_grid              
159174. $OBJEKT             00000490d_betrieb_info_bem_grid                 
159175. $OBJEKT             00000491d_betrieb_info_ausb_ber_grid            
159176. $OBJEKT             00000492d_betrieb_heim_suche_grid               
159177. $OBJEKT             00000493d_betrieb_heim_schueler_grid            
159178. $OBJEKT             00000494d_betrieb_grid_gruppe                   
159179. $OBJEKT             00000495d_betrieb_grid                          
159180. $OBJEKT             00000496d_betrieb_free                          
159181. $OBJEKT             00000497d_betrieb_aao_free_std_kurz             
159182. $OBJEKT             00000498d_betrieb_aao_free_std                  
159183. $OBJEKT             00000499d_betrieb_info_lookup_kunden_nr          
159184. $OBJEKT             00000500d_adressen_tab_betriebe                 
159185. $OBJEKT             00000501d_adressen_tab_klasse                   
159186. $OBJEKT             00000502d_adressen_tab_lehrer                   
159187. $OBJEKT             00000503d_adressen_tab_schueler                 
159188. $OBJEKT             00000504d_adressen_tab_schule                   
159189. $OBJEKT             00000505d_adressen_tab_schule_fremd             
159190. $OBJEKT             00000506d_betrieb_info_merker_grid              
159191. $OBJEKT             00000507d_betrieb_ausb_suche_grid               
159192. $OBJEKT             00000508d_verlag_suche_grid                     
159193. $OBJEKT             00000509d_schule_statistik_kopf                 
159194. $OBJEKT             00000510d_schule_statistik_schulabschluss          
159195. $OBJEKT             00000511d_schule_statistik_staat                
159196. $OBJEKT             00000512d_schule_statistik_volljaehrig          
159197. $OBJEKT             00000513d_schule_statistik_vorbildung           
159198. $OBJEKT             00000514d_schule_statistik_wohnort              
159199. $OBJEKT             00000515d_schule_suche_grid                     
159200. $OBJEKT             00000516d_schule_suche_mit_rechten_grid          
159201. $OBJEKT             00000517d_schule_suche_suchbegr_grid            
159202. $OBJEKT             00000518d_sprachen_schluessel_free              
159203. $OBJEKT             00000519d_sprachen_schluessel_grid              
159204. $OBJEKT             00000520d_suche_begriff_in_pbls                 
159205. $OBJEKT             00000521d_suche_texte_in_pbls                   
159206. $OBJEKT             00000522d_schule_unterricht_grid                
159207. $OBJEKT             00000523d_schule_unterricht_bay_grid            
159208. $OBJEKT             00000524d_schule_unterr_stunden_grid            
159209. $OBJEKT             00000525d_suche_begriff_in_pbls_ergebnis          
159210. $OBJEKT             00000526d_schule_rechte_free                    
159211. $OBJEKT             00000527d_schule_schulleitung_free              
159212. $OBJEKT             00000528d_schule_sjahr_free                     
159213. $OBJEKT             00000529d_schule_sjahr_free_kurz                
159214. $OBJEKT             00000530d_schule_statistik_austrittsgrund          
159215. $OBJEKT             00000531d_schule_statistik_bekenntnis           
159216. $OBJEKT             00000532d_schule_statistik_beruf                
159217. $OBJEKT             00000533d_schule_statistik_betrieb              
159218. $OBJEKT             00000534d_schule_statistik_betriebe_gem          
159219. $OBJEKT             00000535d_schule_statistik_comp_ro              
159220. $OBJEKT             00000536d_schule_schulleitung_free_kurz          
159221. $OBJEKT             00000537d_schule_statistik_gebjahr              
160563. $MENUE              00000030m_datei_vertrag                         
159222. $OBJEKT             00000538d_schule_statistik_gebort               
159223. $OBJEKT             00000539d_schule_info_bem_grid                  
159224. $OBJEKT             00000540d_schule_info_fpa_bos                   
159225. $OBJEKT             00000541d_schule_info_schulbogen                
159226. $OBJEKT             00000542d_schule_info_sprengel                  
159227. $OBJEKT             00000543d_schule_info_unterrichts_produkte          
159228. $OBJEKT             00000544d_schule_info_merker_grid               
159229. $OBJEKT             00000545d_schule_info_schueler_maske            
159230. $OBJEKT             00000546d_schule_grid_gruppe                    
159231. $OBJEKT             00000547d_schule_grid                           
159232. $OBJEKT             00000548d_schule_aao_free_std_kurz              
159233. $OBJEKT             00000549d_schule_aao_free_std                   
159234. $OBJEKT             00000550d_schule_free_1                         
159235. $OBJEKT             00000551d_schluessel_ps-schule_free             
159236. $OBJEKT             00000552d_schluessel_ps-schule_grid             
159237. $OBJEKT             00000553d_schule_free_1_bra                     
159238. $OBJEKT             00000554d_anfrage_stamm                         
159239. $OBJEKT             00000555d_fkt_exec_sql                          
159240. $OBJEKT             00000556d_fkt_reorg                             
159241. $OBJEKT             00000557d_hilfe_pflege                          
159242. $OBJEKT             00000558d_listen_generator_columns              
159243. $OBJEKT             00000559d_listen_generator_tables               
159244. $OBJEKT             00000560d_fkt_abfrage                           
159245. $OBJEKT             00000561d_pbl_export                            
159246. $OBJEKT             00000562d_customize_dw_gruppe                   
159247. $OBJEKT             00000563d_repository_grid                       
159248. $OBJEKT             00000564d_repository_grid_sys                   
159249. $OBJEKT             00000565d_repository_feld_grid                  
159250. $OBJEKT             00000566d_anfrage_grid                          
159251. $OBJEKT             00000567d_ini_zusatz                            
159277. $OBJEKT             00000593d_suchbegriff                           
159252. $OBJEKT             00000568d_ini_winprosa                          
159253. $OBJEKT             00000569d_ini_verzeichnisse                     
159254. $OBJEKT             00000570d_einstellung_free                      
159255. $OBJEKT             00000571d_einstellung_grid                      
159256. $OBJEKT             00000572d_ini_bescheinigung                     
159257. $OBJEKT             00000573d_ini_bewerber                          
159258. $OBJEKT             00000574d_ini_dokumente                         
159259. $OBJEKT             00000575d_ini_drucken                           
159260. $OBJEKT             00000576d_ini_email                             
159261. $OBJEKT             00000577d_ini_entwicklung                       
159262. $OBJEKT             00000578d_ini_kamera                            
159263. $OBJEKT             00000579d_ini_notenblatt                        
159264. $OBJEKT             00000580d_ini_notensammel                       
159265. $OBJEKT             00000581d_ini_optionen                          
159266. $OBJEKT             00000582d_ini_parameter                         
159267. $OBJEKT             00000583d_ini_kurs                              
159268. $OBJEKT             00000584d_ini_program                           
159269. $OBJEKT             00000585d_ini_farben                            
159270. $OBJEKT             00000586d_ini_programmstart                     
159271. $OBJEKT             00000587d_ini_dubletten                         
159272. $OBJEKT             00000588d_ini_resourcen                         
159273. $OBJEKT             00000589d_ini_ausweis                           
159274. $OBJEKT             00000590d_ini_untis                             
159275. $OBJEKT             00000591d_zoomfaktor                            
159276. $OBJEKT             00000592d_swh_zeugnis_rahmen                    
159278. $OBJEKT             00000594d_sprache_dialekt                       
159279. $OBJEKT             00000595d_schluessel_nacherfassung_info          
159280. $OBJEKT             00000596d_schluessel_nacherfassung              
159281. $OBJEKT             00000597d_login                                 
159282. $OBJEKT             00000598d_schuljahr_auswahl                     
159283. $OBJEKT             00000599d_schulart_auswahl                      
159284. $OBJEKT             00000600d_schule_sb_auswahl                     
159285. $OBJEKT             00000601d_lizenz_eingabe                        
159286. $OBJEKT             00000602d_lizenz_info                           
159287. $OBJEKT             00000603d_history_zu_stammsatz_grid             
159288. $OBJEKT             00000604d_identifier                            
159289. $OBJEKT             00000605d_laschen_anpassen                      
159290. $OBJEKT             00000606d_lizenz                                
159291. $OBJEKT             00000607d_history                               
159292. $OBJEKT             00000608d_fkt_dddw_versetzung_typ               
159293. $OBJEKT             00000609d_einstellung_indiv_ds                  
159294. $OBJEKT             00000610d_einstellung                           
159295. $OBJEKT             00000611d_eingabe                               
159296. $OBJEKT             00000612d_dummy                                 
159297. $OBJEKT             00000613d_ds_auto_merker                        
159298. $OBJEKT             00000614d_druck_qualitaet                       
159299. $OBJEKT             00000615d_druck_fachauswahl                     
159526. $OBJEKT             00000842d_aao_grid                              
159300. $OBJEKT             00000616d_druck_duplex_manuell                  
159301. $OBJEKT             00000617d_druck_duplex_auto                     
159302. $OBJEKT             00000618d_dropdown_la_kuerzel                   
159303. $OBJEKT             00000619d_fkt_datei_crypt                       
159304. $OBJEKT             00000620d_calendar                              
159305. $OBJEKT             00000621d_color_nr                              
159306. $OBJEKT             00000622d_history_zu_rechte_grid                
159307. $OBJEKT             00000623d_schluessel_free_listen                
159308. $OBJEKT             00000624d_schluessel_free                       
159309. $OBJEKT             00000625d_schluessel_free_listen_dddw           
159310. $OBJEKT             00000626d_schluessel_grid                       
159311. $OBJEKT             00000627d_schluessel_columns                    
159312. $OBJEKT             00000628d_schluessel_grid_listen                
159313. $OBJEKT             00000629d_schluessel_listen_rechte              
159314. $OBJEKT             00000630d_sammel_suche_grid                     
159315. $OBJEKT             00000631d_schluessel_listen_rechte_cross          
159316. $OBJEKT             00000632d_sammel_grid                           
159317. $OBJEKT             00000633d_sammel_free                           
159318. $OBJEKT             00000634d_schluessel_s_typ_nok                  
159319. $OBJEKT             00000635d_schluessel_statistik                  
159320. $OBJEKT             00000636d_rechte_windows                        
159321. $OBJEKT             00000637d_schluessel_sucheinstieg_export          
159322. $OBJEKT             00000638d_schluessel_sucheinstieg_listen          
159323. $OBJEKT             00000639d_sjahr_free                            
159324. $OBJEKT             00000640d_sjahr_grid                            
159325. $OBJEKT             00000641d_reorg_anrede                          
159326. $OBJEKT             00000642d_reorg_rufname                         
159327. $OBJEKT             00000643d_schluessel_la_grid                    
159328. $OBJEKT             00000644d_reorg_gemkz                           
159329. $OBJEKT             00000645d_schluessel_aufl_grid                  
159330. $OBJEKT             00000646d_schluessel_grid_gruppe                
159331. $OBJEKT             00000647d_reorg_adr_lkz                         
159332. $OBJEKT             00000648d_schluessel_programmgruppe             
159333. $OBJEKT             00000649d_schluessel_programmgruppe_dw_rechte          
159334. $OBJEKT             00000650d_rechte_vorlage                        
159335. $OBJEKT             00000651d_rechte_schluessel                     
159336. $OBJEKT             00000652d_rechte_sonstige_fkt                   
159337. $OBJEKT             00000653d_rechte_grid                           
159338. $OBJEKT             00000654d_rechte_datawindows                    
159339. $OBJEKT             00000655d_rechte_liste                          
159340. $OBJEKT             00000656d_rechte_austausch_objekt               
159341. $OBJEKT             00000657d_recht_sc_grid                         
159342. $OBJEKT             00000658d_rechte_eines_sb                       
159343. $OBJEKT             00000659d_rechte_free_ro                        
159344. $OBJEKT             00000660d_rechte_menue                          
159345. $OBJEKT             00000661d_rechte_register                       
159346. $OBJEKT             00000662d_rechte_history                        
159347. $OBJEKT             00000663d_recht_sc_free                         
159348. $OBJEKT             00000664d_plz_suche_ueber_plz_grid              
159349. $OBJEKT             00000665d_plz_suche_grid                        
159350. $OBJEKT             00000666d_plz_grid                              
159351. $OBJEKT             00000667d_plz_free                              
159352. $OBJEKT             00000668d_passwort_aendern                      
159353. $OBJEKT             00000669d_gemeinde_suche_grid                   
159354. $OBJEKT             00000670d_gemeinde_plz_suche_grid               
159355. $OBJEKT             00000671d_gemeinde_plz_grid                     
159356. $OBJEKT             00000672d_gemeinde_grid                         
159357. $OBJEKT             00000673d_gemeinde_free                         
159358. $OBJEKT             00000674d_fkt_vorlagenpfad_aendern              
159370. $OBJEKT             00000686d_block_grid                            
159359. $OBJEKT             00000675d_fkt_sammel_liste_update               
159360. $OBJEKT             00000676d_fkt_sammel_liste_select               
159361. $OBJEKT             00000677d_gemeinde_auswahl_grid                 
159362. $OBJEKT             00000678d_plausibilitaet_free                   
159363. $OBJEKT             00000679d_plausibilitaet_grid                   
159364. $OBJEKT             00000680d_plz_suche_ueber_ort_ds                
159365. $OBJEKT             00000681d_plz_suche_ueber_ort_grid              
159366. $OBJEKT             00000682d_plz_suche_ueber_plz_ds                
159367. $OBJEKT             00000683d_block_zeiten_stamm                    
159368. $OBJEKT             00000684d_block_zeiten                          
159369. $OBJEKT             00000685d_block_suche_grid                      
159371. $OBJEKT             00000687d_block_free                            
159372. $OBJEKT             00000688d_benutzer_suche_grid                   
159373. $OBJEKT             00000689d_benutzer_grid                         
159374. $OBJEKT             00000690d_benutzer_free                         
160545. $MENUE              00000012m_datei_betrieb                         
159375. $OBJEKT             00000691d_bemerkung_von_hand                    
159376. $OBJEKT             00000692d_fkt_sammel_aenderung                  
159377. $OBJEKT             00000693d_benutzer_recht_sc_free                
159378. $OBJEKT             00000694d_fkt_abtlg_kl_ls                       
159379. $OBJEKT             00000695d_fkt_lehrer_kl_ls                      
159380. $OBJEKT             00000696d_benutzer_grid_ro                      
159381. $OBJEKT             00000697d_textbaustein_doku_free                
159382. $OBJEKT             00000698d_textbaustein_doku_grid                
159383. $OBJEKT             00000699d_textbaustein_fke_free                 
159384. $OBJEKT             00000700d_textbaustein_free                     
159385. $OBJEKT             00000701d_textbaustein_grid                     
159386. $OBJEKT             00000702d_textbaustein_noe_free                 
159387. $OBJEKT             00000703d_textbaustein_nok_free                 
159388. $OBJEKT             00000704d_textbaustein_suche_grid               
159455. $OBJEKT             00000771d_dokument_datei_ole_grid               
159389. $OBJEKT             00000705d_user_list_aus_db                      
159390. $OBJEKT             00000706d_textbaustein_noe_facharbeit_free          
159391. $OBJEKT             00000707d_textbaustein_noe_lernleistung_free          
159392. $OBJEKT             00000708d_textbaustein_noe_noten_grid           
159393. $OBJEKT             00000709d_textbaustein_noe_ds                   
159394. $OBJEKT             00000710d_sjahr_zeugnis_free                    
159395. $OBJEKT             00000711d_sjahr_zeugnis_free_kurz               
159396. $OBJEKT             00000712d_sv_automerker_free                    
159397. $OBJEKT             00000713d_sv_automerker_grid                    
159398. $OBJEKT             00000714d_sjahr_zeugnis_klasse_ds               
159399. $OBJEKT             00000715d_sjahr_zeugnis_klasse_ins_ds           
159400. $OBJEKT             00000716d_sjahr_tag_grid                        
159401. $OBJEKT             00000717d_schueler_dok_free_kurz                
159402. $OBJEKT             00000718d_schueler_dok_free                     
159403. $OBJEKT             00000719d_schueler_wdvl_free                    
159404. $OBJEKT             00000720d_schueler_adr_info_free_kurz           
159405. $OBJEKT             00000721d_schueler_wdvl_free_kurz               
159406. $OBJEKT             00000722d_schueler_adr_info_free                
159407. $OBJEKT             00000723d_schule_adr_free                       
159408. $OBJEKT             00000724d_schueler_adr_free_kurz                
159409. $OBJEKT             00000725d_schule_adr_free_kurz                  
159410. $OBJEKT             00000726d_schueler_adr_free                     
159411. $OBJEKT             00000727d_schule_dok_free                       
159412. $OBJEKT             00000728d_schule_dok_free_kurz                  
159413. $OBJEKT             00000729d_schule_wdvl_free                      
159414. $OBJEKT             00000730d_schule_wdvl_free_kurz                 
159415. $OBJEKT             00000731d_serien_brief_dok_free                 
159416. $OBJEKT             00000732d_serien_brief_dok_free_kurz            
159417. $OBJEKT             00000733d_serien_brief_free                     
